,Symbol,Description,Category,UniProt ID,GIFtS,GC id,Score
6978,PLGLB2,Plasminogen Like B2,Protein Coding,Q02325,37,GC02P087748,2.94
6979,PRR20B,Proline Rich 20B,Protein Coding,P86481,21,GC13P057147,2.94
6980,FPGT,Fucose-1-Phosphate Guanylyltransferase,Protein Coding,O14772,38,GC01P074199,2.94
6981,PAQR9,Progestin And AdipoQ Receptor Family Member 9,Protein Coding,Q6ZVX9,38,GC03M142949,2.94
6982,PCDHGA5,"Protocadherin Gamma Subfamily A, 5",Protein Coding,Q9Y5G8,42,GC05P148043,2.95
6983,PCDHGA3,"Protocadherin Gamma Subfamily A, 3",Protein Coding,Q9Y5H0,42,GC05P148038,2.95
6984,RDH8,Retinol Dehydrogenase 8,Protein Coding,Q9NYR8,45,GC19P011086,2.95
6985,FAM131A,Family With Sequence Similarity 131 Member A,Protein Coding,Q6UXB0,36,GC03P184335,2.95
6986,GLT1D1,Glycosyltransferase 1 Domain Containing 1,Protein Coding,Q96MS3,36,GC12P128853,2.95
6987,OLFML1,Olfactomedin Like 1,Protein Coding,Q6UWY5,41,GC11P007485,2.95
6988,LRRC61,Leucine Rich Repeat Containing 61,Protein Coding,Q9BV99,36,GC07P150309,2.95
6989,RASGEF1A,RasGEF Domain Family Member 1A,Protein Coding,Q8N9B8,43,GC10M043194,2.95
6990,RTKN2,Rhotekin 2,Protein Coding,Q8IZC4,42,GC10M062183,2.95
6991,APOBEC3A_B,APOBEC3A And APOBEC3B Deletion Hybrid,Protein Coding,,10,GC22Pi00068,2.95
6992,CLDN22,Claudin 22,Protein Coding,Q8N7P3,33,GC04M183318,2.95
6993,ZBTB34,Zinc Finger And BTB Domain Containing 34,Protein Coding,Q8NCN2,39,GC09P126860,2.95
6994,PUS3,Pseudouridine Synthase 3,Protein Coding,Q9BZE2,45,GC11M125893,2.95
6995,OR51I1,Olfactory Receptor Family 51 Subfamily I Member 1,Protein Coding,Q9H343,36,GC11M005440,2.95
6996,ZSWIM3,Zinc Finger SWIM-Type Containing 3,Protein Coding,Q96MP5,38,GC20P045857,2.95
6997,CDH8,Cadherin 8,Protein Coding,P55286,49,GC16M061647,2.95
6998,OR13C5,Olfactory Receptor Family 13 Subfamily C Member 5,Protein Coding,Q8NGS8,34,GC09M104598,2.95
6999,SLC4A9,Solute Carrier Family 4 Member 9,Protein Coding,Q96Q91,42,GC05P147994,2.95
7000,LCE2D,Late Cornified Envelope 2D,Protein Coding,Q5TA82,29,GC01P152663,2.95
7001,FAM204A,Family With Sequence Similarity 204 Member A,Protein Coding,Q9H8W3,39,GC10M118297,2.95
7002,FAM170B,Family With Sequence Similarity 170 Member B,Protein Coding,A6NMN3,32,GC10M049131,2.95
7003,APOBEC2,Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 2,Protein Coding,Q9Y235,44,GC06P041053,2.95
7004,ASPHD1,Aspartate Beta-Hydroxylase Domain Containing 1,Protein Coding,Q5U4P2,39,GC16P047701,2.95
7005,PRSS50,Serine Protease 50,Protein Coding,Q9UI38,40,GC03M046712,2.95
7006,PCDHB7,Protocadherin Beta 7,Protein Coding,Q9Y5E2,39,GC05P148021,2.95
7007,SERTM2,Serine Rich And Transmembrane Domain Containing 2,Protein Coding,A0A1B0GWG4,19,GC0XP111513,2.95
7008,KCND1,Potassium Voltage-Gated Channel Subfamily D Member 1,Protein Coding,Q9NSA2,46,GC0XM048961,2.95
7009,OR10K2,Olfactory Receptor Family 10 Subfamily K Member 2,Protein Coding,Q6IF99,34,GC01M158418,2.95
7010,TRBV11-1,T Cell Receptor Beta Variable 11-1,Protein Coding,A0A0K0K1C0,14,GC07P153245,2.95
7011,LY6H,Lymphocyte Antigen 6 Family Member H,Protein Coding,O94772,43,GC08M143157,2.95
7012,EIF4E3,Eukaryotic Translation Initiation Factor 4E Family Member 3,Protein Coding,Q8N5X7,42,GC03M071675,2.96
7013,UPRT,Uracil Phosphoribosyltransferase Homolog,Protein Coding,Q96BW1,42,GC0XP075156,2.96
7014,FRMD1,FERM Domain Containing 1,Protein Coding,Q8N878,37,GC06M168055,2.96
7015,OR4C16,Olfactory Receptor Family 4 Subfamily C Member 16,Protein Coding,Q8NGL9,36,GC11P055577,2.96
7016,NKX1-1,NK1 Homeobox 1,Protein Coding,Q15270,37,GC04M003276,2.96
7017,OR4K1,Olfactory Receptor Family 4 Subfamily K Member 1,Protein Coding,Q8NGD4,39,GC14P038161,2.96
7018,COL26A1,Collagen Type XXVI Alpha 1 Chain,Protein Coding,Q96A83,42,GC07P101362,2.96
7019,EXOC3L1,Exocyst Complex Component 3 Like 1,Protein Coding,Q86VI1,41,GC16M067184,2.96
7020,OR1L8,Olfactory Receptor Family 1 Subfamily L Member 8,Protein Coding,Q8NGR8,37,GC09M122567,2.96
7021,OR5M1,Olfactory Receptor Family 5 Subfamily M Member 1,Protein Coding,Q8NGP8,32,GC11M108932,2.96
7022,OR9Q2,Olfactory Receptor Family 9 Subfamily Q Member 2,Protein Coding,Q8NGE9,33,GC11P058322,2.96
7023,OR2T4,Olfactory Receptor Family 2 Subfamily T Member 4,Protein Coding,Q8NH00,32,GC01P248361,2.96
7024,ONECUT2,One Cut Homeobox 2,Protein Coding,O95948,41,GC18P057436,2.96
7025,OR2B2,Olfactory Receptor Family 2 Subfamily B Member 2,Protein Coding,Q9GZK3,38,GC06M080677,2.96
7026,ZBTB47,Zinc Finger And BTB Domain Containing 47,Protein Coding,Q9UFB7,38,GC03P042653,2.96
7027,RAB44,"RAB44, Member RAS Oncogene Family",Protein Coding,Q7Z6P3,34,GC06P104243,2.96
7028,THAP8,THAP Domain Containing 8,Protein Coding,Q8NA92,35,GC19M036034,2.97
7029,OR8U3,Olfactory Receptor Family 8 Subfamily U Member 3,Protein Coding,Q8NH85,29,GC11M110810,2.97
7030,MTRF1,Mitochondrial Translation Release Factor 1,Protein Coding,O75570,43,GC13M041216,2.97
7031,GTDC1,Glycosyltransferase Like Domain Containing 1,Protein Coding,Q4AE62,42,GC02M143938,2.97
7032,NAPEPLD,N-Acyl Phosphatidylethanolamine Phospholipase D,Protein Coding,Q6IQ20,48,GC07M103099,2.97
7033,FAM83C,Family With Sequence Similarity 83 Member C,Protein Coding,Q9BQN1,38,GC20M035285,2.97
7034,HTR3D,5-Hydroxytryptamine Receptor 3D,Protein Coding,Q70Z44,41,GC03P184031,2.97
7035,EIF2S3B,Eukaryotic Translation Initiation Factor 2 Subunit Gamma B,Protein Coding,Q2VIR3,28,GC12P010505,2.97
7036,SULT1A4,Sulfotransferase Family 1A Member 4,Protein Coding,P0DMN0,37,GC16P047665,2.97
7037,PCYOX1L,Prenylcysteine Oxidase 1 Like,Protein Coding,Q8NBM8,42,GC05P149358,2.97
7038,PTRH1,Peptidyl-TRNA Hydrolase 1 Homolog,Protein Coding,Q86Y79,39,GC09M127917,2.97
7039,CCDC116,Coiled-Coil Domain Containing 116,Protein Coding,Q8IYX3,40,GC22P052815,2.97
7040,ERICH5,Glutamate Rich 5,Protein Coding,Q6P6B1,37,GC08P098064,2.97
7041,PATE1,Prostate And Testis Expressed 1,Protein Coding,Q8WXA2,36,GC11P125746,2.97
7042,CCDC121,Coiled-Coil Domain Containing 121,Protein Coding,Q6ZUS5,40,GC02M027625,2.97
7043,OR5AC2,Olfactory Receptor Family 5 Subfamily AC Member 2,Protein Coding,Q9NZP5,35,GC03P098087,2.97
7044,EVX2,Even-Skipped Homeobox 2,Protein Coding,Q03828,38,GC02M176078,2.97
7045,LRRC36,Leucine Rich Repeat Containing 36,Protein Coding,Q1X8D7,40,GC16P067360,2.97
7046,PCDHGC4,"Protocadherin Gamma Subfamily C, 4",Protein Coding,Q9Y5F7,44,GC05P141484,2.97
7047,UTF1,Undifferentiated Embryonic Cell Transcription Factor 1,Protein Coding,Q5T230,38,GC10P133230,2.97
7048,C13orf42,Chromosome 13 Open Reading Frame 42,Protein Coding,A0A1B0GVH6,19,GC13M051166,2.97
7049,AK7,Adenylate Kinase 7,Protein Coding,Q96M32,46,GC14P096392,2.97
7050,SPIN2B,Spindlin Family Member 2B,Protein Coding,Q9BPZ2,37,GC0XM057113,2.97
7051,FAHD2B,Fumarylacetoacetate Hydrolase Domain Containing 2B,Protein Coding,Q6P2I3,39,GC02M099668,2.97
7052,UGT2B4,UDP Glucuronosyltransferase Family 2 Member B4,Protein Coding,P06133,47,GC04M069484,2.97
7053,ANKRD45,Ankyrin Repeat Domain 45,Protein Coding,Q5TZF3,38,GC01M173608,2.97
7054,TTC22,Tetratricopeptide Repeat Domain 22,Protein Coding,Q5TAA0,37,GC01M054779,2.97
7055,CYP4F3,Cytochrome P450 Family 4 Subfamily F Member 3,Protein Coding,Q08477,48,GC19P015640,2.98
7056,OR10K1,Olfactory Receptor Family 10 Subfamily K Member 1,Protein Coding,Q8NGX5,35,GC01P158461,2.98
7057,OR52K1,Olfactory Receptor Family 52 Subfamily K Member 1,Protein Coding,Q8NGK4,36,GC11P004482,2.98
7058,SPANXN3,SPANX Family Member N3,Protein Coding,Q5MJ09,34,GC0XM143508,2.98
7059,SLC38A10,Solute Carrier Family 38 Member 10,Protein Coding,Q9HBR0,42,GC17M081244,2.98
7060,OR6S1,Olfactory Receptor Family 6 Subfamily S Member 1,Protein Coding,Q8NH40,35,GC14M020640,2.98
7061,DENND2C,DENN Domain Containing 2C,Protein Coding,Q68D51,40,GC01M114582,2.98
7062,AGMAT,Agmatinase,Protein Coding,Q9BSE5,45,GC01M015571,2.98
7063,DUSP13A,Dual Specificity Phosphatase 13A,Protein Coding,,12,GC10M075096,2.98
7064,NMNAT2,Nicotinamide Nucleotide Adenylyltransferase 2,Protein Coding,Q9BZQ4,47,GC01M183248,2.98
7065,LRRC51,Leucine Rich Repeat Containing 51,Protein Coding,Q96E66,21,GC11P073273,2.98
7066,PROSER3,Proline And Serine Rich 3,Protein Coding,Q2NL68,34,GC19P083162,2.98
7067,AGXT2,Alanine--Glyoxylate Aminotransferase 2,Protein Coding,Q9BYV1,47,GC05M034998,2.98
7068,FOXO6,Forkhead Box O6,Protein Coding,A8MYZ6,38,GC01P041361,2.98
7069,OR6X1,Olfactory Receptor Family 6 Subfamily X Member 1,Protein Coding,Q8NH79,36,GC11M123754,2.98
7070,HAGHL,Hydroxyacylglutathione Hydrolase Like,Protein Coding,Q6PII5,39,GC16P021378,2.98
7071,VWA3B,Von Willebrand Factor A Domain Containing 3B,Protein Coding,Q502W6,42,GC02P098070,2.98
7072,PGBD2,PiggyBac Transposable Element Derived 2,Protein Coding,Q6P3X8,37,GC01P248872,2.98
7073,GON7,GON7 Subunit Of KEOPS Complex,Protein Coding,Q9BXV9,38,GC14M115258,2.99
7074,LCE1F,Late Cornified Envelope 1F,Protein Coding,Q5T754,29,GC01P154593,2.99
7075,MEIKIN,Meiotic Kinetochore Factor,Protein Coding,A0A087WXM9,29,GC05M131806,2.99
7076,MFSD14B,Major Facilitator Superfamily Domain Containing 14B,Protein Coding,Q5SR56,33,GC09P095078,2.99
7077,OR13C9,Olfactory Receptor Family 13 Subfamily C Member 9,Protein Coding,Q8NGT0,32,GC09M104617,2.99
7078,PLAC9,Placenta Associated 9,Protein Coding,Q5JTB6,37,GC10P080131,2.99
7079,KRT39,Keratin 39,Protein Coding,Q6A163,39,GC17M040958,2.99
7080,LYRM2,LYR Motif Containing 2,Protein Coding,Q9NU23,40,GC06M089568,2.99
7081,HTR3C,5-Hydroxytryptamine Receptor 3C,Protein Coding,Q8WXA8,43,GC03P184056,2.99
7082,OR9G4,Olfactory Receptor Family 9 Subfamily G Member 4,Protein Coding,Q8NGQ1,34,GC11M108933,2.99
7083,LCE3A,Late Cornified Envelope 3A,Protein Coding,Q5TA76,32,GC01M156006,2.99
7084,SHOC1,Shortage In Chiasmata 1,Protein Coding,Q5VXU9,34,GC09M111688,2.99
7085,ENPP5,Ectonucleotide Pyrophosphatase/Phosphodiesterase Family Member 5,Protein Coding,Q9UJA9,45,GC06M046159,2.99
7086,PEAK3,PEAK Family Member 3,Protein Coding,Q6ZS72,34,GC19M009194,2.99
7087,SCNN1D,Sodium Channel Epithelial 1 Subunit Delta,Protein Coding,P51172,49,GC01P001280,2.99
7088,JRKL,JRK Like,Protein Coding,Q9Y4A0,39,GC11P096389,2.99
7089,SLC17A2,Solute Carrier Family 17 Member 2,Protein Coding,O00624,44,GC06M025912,2.99
7090,RPUSD1,RNA Pseudouridine Synthase Domain Containing 1,Protein Coding,Q9UJJ7,40,GC16M010380,2.99
7091,HTR3E,5-Hydroxytryptamine Receptor 3E,Protein Coding,A5X5Y0,42,GC03P184098,2.99
7092,PCDHGA4,"Protocadherin Gamma Subfamily A, 4",Protein Coding,Q9Y5G9,39,GC05P148040,2.99
7093,OR2M5,Olfactory Receptor Family 2 Subfamily M Member 5,Protein Coding,A3KFT3,29,GC01P248145,2.99
7094,OR4A5,Olfactory Receptor Family 4 Subfamily A Member 5,Protein Coding,Q8NH83,33,GC11P054706,2.99
7095,OR4C5,Olfactory Receptor Family 4 Subfamily C Member 5,Protein Coding,Q8NGB2,28,GC11M108892,2.99
7096,LDAH,Lipid Droplet Associated Hydrolase,Protein Coding,Q9H6V9,40,GC02M020684,2.99
7097,CMTR2,Cap Methyltransferase 2,Protein Coding,Q8IYT2,36,GC16M071281,3.0
7098,OR10V1,Olfactory Receptor Family 10 Subfamily V Member 1,Protein Coding,Q8NGI7,36,GC11M059712,3.0
7099,OR4S1,Olfactory Receptor Family 4 Subfamily S Member 1,Protein Coding,Q8NGB4,33,GC11P048327,3.0
7100,OR6C74,Olfactory Receptor Family 6 Subfamily C Member 74,Protein Coding,A6NCV1,30,GC12P056023,3.0
7101,C2orf92,Chromosome 2 Open Reading Frame 92,Protein Coding,A0A1B0GVN3,18,GC02P097812,3.0
7102,OR8K3,Olfactory Receptor Family 8 Subfamily K Member 3 (Gene/Pseudogene),Protein Coding,Q8NH51,32,GC11P056318,3.0
7103,DHFR2,Dihydrofolate Reductase 2,Protein Coding,Q86XF0,40,GC03M094048,3.0
7104,CRTAM,Cytotoxic And Regulatory T Cell Molecule,Protein Coding,O95727,42,GC11P122840,3.0
7105,LCE1D,Late Cornified Envelope 1D,Protein Coding,Q5T752,29,GC01P154594,3.0
7106,ANKRD10,Ankyrin Repeat Domain 10,Protein Coding,Q9NXR5,38,GC13M110878,3.0
7107,OR5M11,Olfactory Receptor Family 5 Subfamily M Member 11,Protein Coding,Q96RB7,36,GC11M108930,3.0
7108,GAL3ST2,Galactose-3-O-Sulfotransferase 2,Protein Coding,Q9H3Q3,41,GC02P241777,3.0
7109,SPDYE16,Speedy/RINGO Cell Cycle Regulator Family Member E16,Protein Coding,A6NNV3,20,GC07M077926,3.0
7110,HYI,Hydroxypyruvate Isomerase (Putative),Protein Coding,Q5T013,41,GC01M043450,3.0
7111,CCDC42,Coiled-Coil Domain Containing 42,Protein Coding,Q96M95,40,GC17M008729,3.0
7112,OR5AS1,Olfactory Receptor Family 5 Subfamily AS Member 1,Protein Coding,Q8N127,33,GC11P056030,3.0
7113,OR5AK2,Olfactory Receptor Family 5 Subfamily AK Member 2,Protein Coding,Q8NH90,37,GC11P056988,3.0
7114,POU3F1,POU Class 3 Homeobox 1,Protein Coding,Q03052,42,GC01M038267,3.0
7115,OR2C3,Olfactory Receptor Family 2 Subfamily C Member 3,Protein Coding,Q8N628,36,GC01M247530,3.0
7116,FOXO3B,Forkhead Box O3B,Protein Coding,A0A2Z4LIS9,20,GC17M059688,3.0
7117,ACOT12,Acyl-CoA Thioesterase 12,Protein Coding,Q8WYK0,45,GC05M081309,3.0
7118,XAGE2,X Antigen Family Member 2,Protein Coding,Q96GT9,34,GC0XP052381,3.0
7119,FAM124A,Family With Sequence Similarity 124 Member A,Protein Coding,Q86V42,44,GC13P051222,3.0
7120,HYKK,Hydroxylysine Kinase,Protein Coding,A2RU49,38,GC15P078507,3.0
7121,RHBDL3,Rhomboid Like 3,Protein Coding,P58872,42,GC17P076525,3.0
7122,KRT40,Keratin 40,Protein Coding,Q6A162,38,GC17M040977,3.0
7123,ERVFC1-1,"Endogenous Retrovirus Group FC1 Member 1, Envelope",Protein Coding,P60608,13,GC07U903190,3.0
7124,OR2T10,Olfactory Receptor Family 2 Subfamily T Member 10,Protein Coding,Q8NGZ9,36,GC01M248592,3.01
7125,TAS2R50,Taste 2 Receptor Member 50,Protein Coding,P59544,39,GC12M010985,3.01
7126,IQCD,IQ Motif Containing D,Protein Coding,Q96DY2,38,GC12M113195,3.01
7127,OR5M3,Olfactory Receptor Family 5 Subfamily M Member 3,Protein Coding,Q8NGP4,36,GC11M056469,3.01
7128,OR2A14,Olfactory Receptor Family 2 Subfamily A Member 14,Protein Coding,Q96R47,34,GC07P152192,3.01
7129,LINC02210-CRHR1,LINC02210-CRHR1 Readthrough,Protein Coding,,20,GC17P078207,3.01
7130,ADAM20,ADAM Metallopeptidase Domain 20,Protein Coding,O43506,42,GC14M070522,3.01
7131,BEND2,BEN Domain Containing 2,Protein Coding,Q8NDZ0,38,GC0XM018162,3.01
7132,PCDHGB4,"Protocadherin Gamma Subfamily B, 4",Protein Coding,Q9UN71,42,GC05P148046,3.01
7133,METTL5,"Methyltransferase 5, N6-Adenosine",Protein Coding,Q9NRN9,42,GC02M169869,3.01
7134,KRT38,Keratin 38,Protein Coding,O76015,41,GC17M041436,3.01
7135,KRT24,Keratin 24,Protein Coding,Q2M2I5,42,GC17M040697,3.01
7136,ANKRD30B,Ankyrin Repeat Domain 30B,Protein Coding,Q9BXX2,33,GC18P019455,3.01
7137,AOC2,Amine Oxidase Copper Containing 2,Protein Coding,O75106,47,GC17P042844,3.01
7138,CORO6,Coronin 6,Protein Coding,Q6QEF8,39,GC17M029614,3.01
7139,GAGE1,G Antigen 1,Protein Coding,P0DTW1,30,GC0XP052209,3.01
7140,KCNF1,Potassium Voltage-Gated Channel Modifier Subfamily F Member 1,Protein Coding,Q9H3M0,44,GC02P010911,3.01
7141,CELA3A,Chymotrypsin Like Elastase 3A,Protein Coding,P09093,42,GC01P022001,3.01
7142,OR2L3,Olfactory Receptor Family 2 Subfamily L Member 3,Protein Coding,Q8NG85,32,GC01P248060,3.01
7143,MILR1,Mast Cell Immunoglobulin Like Receptor 1,Protein Coding,Q7Z6M3,38,GC17P078966,3.01
7144,KCNMB2,Potassium Calcium-Activated Channel Subfamily M Regulatory Beta Subunit 2,Protein Coding,Q9Y691,41,GC03P178272,3.01
7145,OR2AJ1,Olfactory Receptor Family 2 Subfamily AJ Member 1,Protein Coding,Q8NGZ0,28,GC01P247933,3.01
7146,IGSF21,Immunoglobin Superfamily Member 21,Protein Coding,Q96ID5,43,GC01P018107,3.01
7147,NEDD8-MDP1,NEDD8-MDP1 Readthrough,Protein Coding,,20,GC14M024213,3.01
7148,FAM222B,Family With Sequence Similarity 222 Member B,Protein Coding,Q8WU58,37,GC17M028755,3.01
7149,ANKRD16,Ankyrin Repeat Domain 16,Protein Coding,Q6P6B7,39,GC10M005861,3.02
7150,C15orf40,Chromosome 15 Open Reading Frame 40,Protein Coding,Q8WUR7,39,GC15M133635,3.02
7151,GARIN2,Golgi Associated RAB2 Interactor Family Member 2,Protein Coding,Q8N9W8,37,GC14P067192,3.02
7152,OR2T5,Olfactory Receptor Family 2 Subfamily T Member 5,Protein Coding,Q6IEZ7,30,GC01P248488,3.02
7153,PSAPL1,Prosaposin Like 1,Protein Coding,Q6NUJ1,39,GC04M007434,3.02
7154,CPA5,Carboxypeptidase A5,Protein Coding,Q8WXQ8,44,GC07P130344,3.02
7155,RNASE9,Ribonuclease A Family Member 9 (Inactive),Protein Coding,P60153,37,GC14M020556,3.02
7156,LDHAL6A,Lactate Dehydrogenase A Like 6A,Protein Coding,Q6ZMR3,42,GC11P018820,3.02
7157,C1orf226,Chromosome 1 Open Reading Frame 226,Protein Coding,A1L170,36,GC01P162378,3.02
7158,POTEA,POTE Ankyrin Domain Family Member A,Protein Coding,Q6S8J7,33,GC08P044006,3.02
7159,H2AB3,H2A.B Variant Histone 3,Protein Coding,P0C5Z0,30,GC0XM155460,3.02
7160,OR6N1,Olfactory Receptor Family 6 Subfamily N Member 1,Protein Coding,Q8NGY5,36,GC01M158765,3.02
7161,SLC5A10,Solute Carrier Family 5 Member 10,Protein Coding,A0PJK1,45,GC17P018950,3.02
7162,GABRP,Gamma-Aminobutyric Acid Type A Receptor Subunit Pi,Protein Coding,O00591,46,GC05P170763,3.02
7163,ZXDB,Zinc Finger X-Linked Duplicated B,Protein Coding,P98169,37,GC0XP057591,3.02
7164,PLA2G12A,Phospholipase A2 Group XIIA,Protein Coding,Q9BZM1,46,GC04M109712,3.02
7165,PLEKHH1,"Pleckstrin Homology, MyTH4 And FERM Domain Containing H1",Protein Coding,Q9ULM0,42,GC14P067533,3.02
7166,LCN6,Lipocalin 6,Protein Coding,P62502,34,GC09M136744,3.02
7167,MOB3C,MOB Kinase Activator 3C,Protein Coding,Q70IA8,38,GC01M046607,3.02
7168,PHTF1,Putative Homeodomain Transcription Factor 1,Protein Coding,Q9UMS5,43,GC01M113696,3.02
7169,MOCOS,Molybdenum Cofactor Sulfurase,Protein Coding,Q96EN8,48,GC18P036187,3.02
7170,ENTPD3,Ectonucleoside Triphosphate Diphosphohydrolase 3,Protein Coding,O75355,50,GC03P040403,3.02
7171,TGIF2-RAB5IF,TGIF2-RAB5IF Readthrough,Protein Coding,,20,GC20P036582,3.02
7172,OR52E1,Olfactory Receptor Family 52 Subfamily E Member 1 (Gene/Pseudogene),Protein Coding,Q8NGJ3,22,GC11P005069,3.02
7173,OR2A7,Olfactory Receptor Family 2 Subfamily A Member 7,Protein Coding,Q96R45,33,GC07M144265,3.02
7174,LRRC74B,Leucine Rich Repeat Containing 74B,Protein Coding,Q6ZQY2,29,GC22P051853,3.02
7175,C1orf105,Chromosome 1 Open Reading Frame 105,Protein Coding,O95561,38,GC01P172419,3.03
7176,PLEKHG6,Pleckstrin Homology And RhoGEF Domain Containing G6,Protein Coding,Q3KR16,44,GC12P006310,3.03
7177,OAF,Out At First Homolog,Protein Coding,Q86UD1,40,GC11P120707,3.03
7178,SULT1A2,Sulfotransferase Family 1A Member 2,Protein Coding,P50226,48,GC16M028591,3.03
7179,MOSMO,Modulator Of Smoothened,Protein Coding,Q8NHV5,29,GC16P022007,3.03
7180,SDSL,Serine Dehydratase Like,Protein Coding,Q96GA7,45,GC12P113422,3.03
7181,CTAG1A,Cancer/Testis Antigen 1A,Protein Coding,P78358,31,GC0XP154585,3.03
7182,MOB3A,MOB Kinase Activator 3A,Protein Coding,Q96BX8,41,GC19M009177,3.03
7183,SLC25A53,Solute Carrier Family 25 Member 53,Protein Coding,Q5H9E4,37,GC0XM104099,3.03
7184,SYT15,Synaptotagmin 15,Protein Coding,Q9BQS2,36,GC10P046578,3.03
7185,SLC66A2,Solute Carrier Family 66 Member 2,Protein Coding,Q8N2U9,38,GC18M079903,3.03
7186,PLSCR2,Phospholipid Scramblase 2,Protein Coding,Q9NRY7,41,GC03M146414,3.03
7187,ANKEF1,Ankyrin Repeat And EF-Hand Domain Containing 1,Protein Coding,Q9NU02,40,GC20P009987,3.03
7188,EBF4,EBF Family Member 4,Protein Coding,Q9BQW3,42,GC20P004884,3.03
7189,GTSF1,Gametocyte Specific Factor 1,Protein Coding,Q8WW33,40,GC12M054455,3.03
7190,FSD1L,Fibronectin Type III And SPRY Domain Containing 1 Like,Protein Coding,Q9BXM9,38,GC09P105447,3.03
7191,MMP23B,Matrix Metallopeptidase 23B,Protein Coding,O75900,45,GC01P005279,3.03
7192,C8orf82,Chromosome 8 Open Reading Frame 82,Protein Coding,Q6P1X6,31,GC08M144525,3.03
7193,SLC23A3,Solute Carrier Family 23 Member 3,Protein Coding,Q6PIS1,41,GC02M219161,3.03
7194,OR10Q1,Olfactory Receptor Family 10 Subfamily Q Member 1,Protein Coding,Q8NGQ4,34,GC11M058227,3.03
7195,IQCF1,IQ Motif Containing F1,Protein Coding,Q8N6M8,38,GC03M051894,3.03
7196,OR4C13,Olfactory Receptor Family 4 Subfamily C Member 13,Protein Coding,Q8NGP0,37,GC11P049973,3.03
7197,OR5T2,Olfactory Receptor Family 5 Subfamily T Member 2,Protein Coding,Q8NGG2,36,GC11M108927,3.03
7198,OR52J3,Olfactory Receptor Family 52 Subfamily J Member 3,Protein Coding,Q8NH60,33,GC11P005046,3.03
7199,C11orf52,Chromosome 11 Open Reading Frame 52,Protein Coding,Q96A22,34,GC11P111918,3.03
7200,TMPRSS5,Transmembrane Serine Protease 5,Protein Coding,Q9H3S3,45,GC11M113687,3.03
7201,PCDHB6,Protocadherin Beta 6,Protein Coding,Q9Y5E3,37,GC05P148020,3.03
7202,OR5L2,Olfactory Receptor Family 5 Subfamily L Member 2,Protein Coding,Q8NGL0,33,GC11P055828,3.03
7203,SEMA3D,Semaphorin 3D,Protein Coding,O95025,46,GC07M084995,3.04
7204,ERVFC1,Endogenous Retrovirus Group FC1 Env Polyprotein,Protein Coding,P60507,14,GC0XP097842,3.04
7205,IQANK1,IQ Motif And Ankyrin Repeat Containing 1,Protein Coding,A8MXQ7,24,GC08P145556,3.04
7206,KLHL35,Kelch Like Family Member 35,Protein Coding,Q6PF15,38,GC11M075422,3.04
7207,TRMT12,TRNA Methyltransferase 12 Homolog,Protein Coding,Q53H54,42,GC08P124450,3.04
7208,TASL,TLR Adaptor Interacting With Endolysosomal SLC15A4,Protein Coding,Q9HAI6,35,GC0XM030559,3.04
7209,OR52B2,Olfactory Receptor Family 52 Subfamily B Member 2,Protein Coding,Q96RD2,37,GC11M006169,3.04
7210,OR5M8,Olfactory Receptor Family 5 Subfamily M Member 8,Protein Coding,Q8NGP6,36,GC11M056490,3.04
7211,KATNAL2,Katanin Catalytic Subunit A1 Like 2,Protein Coding,Q8IYT4,43,GC18P046917,3.04
7212,FUT11,Fucosyltransferase 11,Protein Coding,Q495W5,41,GC10P073772,3.04
7213,KIF4B,Kinesin Family Member 4B,Protein Coding,Q2VIQ3,40,GC05P155013,3.04
7214,SLC6A13,Solute Carrier Family 6 Member 13,Protein Coding,Q9NSD5,49,GC12M000200,3.04
7215,SLC4A5,Solute Carrier Family 4 Member 5,Protein Coding,Q9BY07,48,GC02M074217,3.04
7216,CCDC71L,Coiled-Coil Domain Containing 71 Like,Protein Coding,Q8N9Z2,36,GC07M106656,3.04
7217,C19orf44,Chromosome 19 Open Reading Frame 44,Protein Coding,Q9H6X5,37,GC19P082806,3.04
7218,OR4D11,Olfactory Receptor Family 4 Subfamily D Member 11,Protein Coding,Q8NGI4,35,GC11P059503,3.04
7219,KCTD14,Potassium Channel Tetramerization Domain Containing 14,Protein Coding,Q9BQ13,38,GC11M109673,3.04
7220,KRT85,Keratin 85,Protein Coding,P78386,46,GC12M052361,3.04
7221,MCUB,Mitochondrial Calcium Uniporter Dominant Negative Subunit Beta,Protein Coding,Q9NWR8,39,GC04P109561,3.04
7222,GAL3ST4,Galactose-3-O-Sulfotransferase 4,Protein Coding,Q96RP7,44,GC07M100159,3.05
7223,PCDHGB2,"Protocadherin Gamma Subfamily B, 2",Protein Coding,Q9Y5G2,43,GC05P148042,3.05
7224,KIR3DS1,"Killer Cell Immunoglobulin Like Receptor, Three Ig Domains And Short Cytoplasmic Tail 1",Protein Coding,Q14943,27,GC19MR00058,3.05
7225,OR2A25,Olfactory Receptor Family 2 Subfamily A Member 25,Protein Coding,A4D2G3,39,GC07P152193,3.05
7226,LRRC38,Leucine Rich Repeat Containing 38,Protein Coding,Q5VT99,37,GC01M013582,3.05
7227,RBMXL3,RBMX Like 3,Protein Coding,Q8N7X1,32,GC0XP115189,3.05
7228,SPAG7,Sperm Associated Antigen 7,Protein Coding,O75391,40,GC17M004959,3.05
